searchText,query,budgetMin,budgetMax,brand,color,sortBy,intent
please worth it speaker Lenovo in red ₹4158-48706 new with good quality,speaker,4158,48706,Lenovo,red,value,value
affordable speaker between ₹9915 and ₹10540 lightweight with good quality,speaker,9915,10540,,silver,value,value
best iphone ₹31911-62219 wireless,phone,31911,62219,Sony,,ranking,best
good reviews mouse Asics in blue between ₹1153 and ₹8981 gaming,mouse,1153,8981,Asics,blue,reviews,reviews
please recommended speaker ₹18302-42394 durable,speaker,18302,42394,,,ranking,best
customer reviews shoes Puma between ₹2993 and ₹5361 for students,shoe,2993,5361,Puma,,reviews,reviews
please affordable wireless headphones SteelSeries between ₹19955 and ₹34193 premium with good quality,headphone,19955,34193,SteelSeries,,value,value
good reviews android phone Xiaomi starting from 27543-31906,phone,27543,31906,Xiaomi,,reviews,reviews
top rated sneakers in gold between ₹7096 and ₹17797 for students,shoe,7096,17797,,gold,reviews,reviews
best overall mechanical keyboard starting from 7631-18075 gaming,keyboard,7631,18075,,,ranking,best
please highest rated mechanical keyboard below 4524 new,keyboard,0,4524,,,reviews,reviews
recommended iphone between ₹12207 and ₹74703 for office,phone,12207,74703,,,ranking,best
please good reviews external drive starting from 12004-33499 lightweight,storage,12004,33499,,,reviews,reviews
please best mouse under ₹3210 with good quality,mouse,0,3210,,,ranking,best
affordable bluetooth speaker Corsair in purple below 32413 for office with good quality,speaker,0,32413,Corsair,purple,value,value
budget speaker in gray below 19279 premium with good quality,speaker,0,19279,,gray,value,value
please budget smartphone ₹8483-20907 lightweight with good quality,phone,8483,20907,SteelSeries,orange,value,value
budget camera Nikon in brown between ₹84845 and ₹212622 latest with good quality,camera,84845,212622,Nikon,brown,value,value
best overall mouse Razer under ₹10718 lightweight,mouse,0,10718,Razer,gold,ranking,best
budget sneakers in purple between ₹5082 and ₹10465 for office,shoe,5082,10465,,purple,value,value
suggest iphone below 38538,phone,0,38538,Crucial,,ranking,best
please value for money macbook starting from 89477-195465 new with good quality,laptop,89477,195465,Corsair,,value,value
budget mobile between ₹14901 and ₹62130 wireless with good quality,phone,14901,62130,,green,value,value
please pick for me camera in yellow starting from 95507-164377,camera,95507,164377,,yellow,ranking,best
good reviews hdd below 28848 gaming,storage,0,28848,,,reviews,reviews
please affordable boots starting from 1642-13431 with good quality,shoe,1642,13431,,blue,value,value
please best reviews computer in brown between ₹76274 and ₹198477 new,laptop,76274,198477,,brown,reviews,reviews
best reviews tablet ₹22915-52334 new,tablet,22915,52334,,,reviews,reviews
